Gold market premium/discount data,,,,,,,,,,,,,
,,,,,,,,,,,,,
Indian Premium/Discount (US$/oz),,,,"The Indian premium/discount data is sourced from NCDEX (one of the commodity exchanges in India), which started publishing this data from 21 May 2015. Prior to that, premium/discount was calculated using the 'Premia Sheet-Old' worksheet. More information can be found in the accompanying metholdogy note. *Polled Premium for 995 Gold at Ahmedabad in USD/troy oz.",,,,,,,,,
Source: MCX; RBI; NCDEX; World Gold Council,,,,,,,,,,,,,
,,,,,,,,,,,,,
2013-05-21,20.2,,,,,,,,,,,,
2013-05-22,10.5,,,,,,,,,,,,
2013-05-23,1.5,,,,,,,,,,,,
2013-05-24,7.7,,,,,,,,,,,,
2013-05-27,7.7,,,,,,,,,,,,
2013-05-28,6.9,,,,,,,,,,,,
2013-05-29,-1.3,,,,,,,,,,,,
2013-05-30,-1.2,,,,,,,,,,,,
2013-05-31,0.7,,,,,,,,,,,,
2013-06-03,0.6,,,,,,,,,,,,
2013-06-04,-5.5,,,,,,,,,,,,
2013-06-05,-19.6,,,,,,,,,,,,
2013-06-06,-3.0,,,,,,,,,,,,
2013-06-07,-2.7,,,,,,,,,,,,
2013-06-10,0.7,,,,,,,,,,,,
2013-06-11,-20.4,,,,,,,,,,,,
2013-06-12,-17.6,,,,,,,,,,,,
2013-06-13,-14.7,,,,,,,,,,,,
2013-06-14,-10.5,,,,,,,,,,,,
2013-06-17,-4.2,,,,,,,,,,,,
2013-06-18,-0.1,,,,,,,,,,,,
2013-06-19,-3.5,,,,,,,,,,,,
2013-06-20,-0.1,,,,,,,,,,,,
2013-06-21,-3.2,,,,,,,,,,,,
2013-06-24,8.1,,,,,,,,,,,,
2013-06-25,3.8,,,,,,,,,,,,
2013-06-26,21.2,,,,,,,,,,,,
2013-06-27,-4.5,,,,,,,,,,,,
2013-06-28,1.9,,,,,,,,,,,,
2013-07-01,11.2,,,,,,,,,,,,
2013-07-02,10.0,,,,,,,,,,,,
2013-07-03,9.2,,,,,,,,,,,,
2013-07-04,8.4,,,,,,,,,,,,
2013-07-05,14.2,,,,,,,,,,,,
2013-07-08,5.1,,,,,,,,,,,,
2013-07-09,3.7,,,,,,,,,,,,
2013-07-10,2.4,,,,,,,,,,,,
2013-07-11,11.1,,,,,,,,,,,,
2013-07-12,4.3,,,,,,,,,,,,
2013-07-15,1.2,,,,,,,,,,,,
2013-07-16,1.4,,,,,,,,,,,,
2013-07-17,4.5,,,,,,,,,,,,
2013-07-18,-0.8,,,,,,,,,,,,
2013-07-19,2.5,,,,,,,,,,,,
2013-07-22,5.1,,,,,,,,,,,,
2013-07-23,8.2,,,,,,,,,,,,
2013-07-24,1.7,,,,,,,,,,,,
2013-07-25,23.8,,,,,,,,,,,,
2013-07-26,24.5,,,,,,,,,,,,
2013-07-29,37.6,,,,,,,,,,,,
2013-07-30,47.5,,,,,,,,,,,,
2013-07-31,17.3,,,,,,,,,,,,
2013-08-01,15.4,,,,,,,,,,,,
2013-08-02,34.5,,,,,,,,,,,,
2013-08-05,25.9,,,,,,,,,,,,
2013-08-06,23.4,,,,,,,,,,,,
2013-08-07,25.6,,,,,,,,,,,,
2013-08-08,30.2,,,,,,,,,,,,
2013-08-09,30.2,,,,,,,,,,,,
2013-08-12,42.0,,,,,,,,,,,,
2013-08-13,18.5,,,,,,,,,,,,
2013-08-14,27.4,,,,,,,,,,,,
2013-08-15,27.4,,,,,,,,,,,,
2013-08-16,42.5,,,,,,,,,,,,
2013-08-19,51.7,,,,,,,,,,,,
2013-08-20,30.1,,,,,,,,,,,,
2013-08-21,55.7,,,,,,,,,,,,
2013-08-22,3.7,,,,,,,,,,,,
2013-08-23,-2.4,,,,,,,,,,,,
2013-08-26,-2.4,,,,,,,,,,,,
2013-08-27,-0.2,,,,,,,,,,,,
2013-08-28,-70.3,,,,,,,,,,,,
2013-08-29,-26.5,,,,,,,,,,,,
2013-08-30,-33.0,,,,,,,,,,,,
2013-09-02,-29.9,,,,,,,,,,,,
2013-09-03,-17.7,,,,,,,,,,,,
2013-09-04,-59.1,,,,,,,,,,,,
2013-09-05,-39.7,,,,,,,,,,,,
2013-09-06,-62.1,,,,,,,,,,,,
2013-09-09,-62.1,,,,,,,,,,,,
2013-09-10,-49.7,,,,,,,,,,,,
2013-09-11,-48.1,,,,,,,,,,,,
2013-09-12,-20.2,,,,,,,,,,,,
2013-09-13,-17.9,,,,,,,,,,,,
2013-09-16,2.4,,,,,,,,,,,,
2013-09-17,7.4,,,,,,,,,,,,
2013-09-18,10.3,,,,,,,,,,,,
2013-09-19,17.3,,,,,,,,,,,,
2013-09-20,11.5,,,,,,,,,,,,
2013-09-23,4.1,,,,,,,,,,,,
2013-09-24,9.6,,,,,,,,,,,,
2013-09-25,22.3,,,,,,,,,,,,
2013-09-26,26.6,,,,,,,,,,,,
2013-09-27,36.1,,,,,,,,,,,,
2013-09-30,19.2,,,,,,,,,,,,
2013-10-01,17.7,,,,,,,,,,,,
2013-10-02,17.7,,,,,,,,,,,,
2013-10-03,26.3,,,,,,,,,,,,
2013-10-04,47.5,,,,,,,,,,,,
2013-10-07,45.6,,,,,,,,,,,,
2013-10-08,56.4,,,,,,,,,,,,
2013-10-09,48.1,,,,,,,,,,,,
2013-10-10,59.7,,,,,,,,,,,,
2013-10-11,88.6,,,,,,,,,,,,
2013-10-14,127.7,,,,,,,,,,,,
2013-10-15,118.6,,,,,,,,,,,,
2013-10-16,118.6,,,,,,,,,,,,
2013-10-17,112.8,,,,,,,,,,,,
2013-10-18,124.5,,,,,,,,,,,,
2013-10-21,125.2,,,,,,,,,,,,
2013-10-22,125.0,,,,,,,,,,,,
2013-10-23,127.7,,,,,,,,,,,,
2013-10-24,133.0,,,,,,,,,,,,
2013-10-25,131.4,,,,,,,,,,,,
2013-10-28,116.8,,,,,,,,,,,,
2013-10-29,94.6,,,,,,,,,,,,
2013-10-30,84.0,,,,,,,,,,,,
2013-10-31,76.2,,,,,,,,,,,,
2013-11-01,81.7,,,,,,,,,,,,
2013-11-04,81.7,,,,,,,,,,,,
2013-11-05,83.6,,,,,,,,,,,,
2013-11-06,86.9,,,,,,,,,,,,
2013-11-07,74.9,,,,,,,,,,,,
2013-11-08,73.4,,,,,,,,,,,,
2013-11-11,86.3,,,,,,,,,,,,
2013-11-12,103.9,,,,,,,,,,,,
2013-11-13,106.1,,,,,,,,,,,,
2013-11-14,122.9,,,,,,,,,,,,
2013-11-15,122.9,,,,,,,,,,,,
2013-11-18,123.8,,,,,,,,,,,,
2013-11-19,139.1,,,,,,,,,,,,
2013-11-20,145.4,,,,,,,,,,,,
2013-11-21,144.6,,,,,,,,,,,,
